ID,y
1,87.77091
2,103.62327
3,78.33217
4,76.95639
5,115.75075
8,93.13829
10,116.41251
11,93.493835
12,119.49952
14,93.67455
15,119.49952
16,107.18534
17,94.681175
19,94.00087
20,107.90376
21,94.66846
22,119.25256
23,94.681175
26,94.43392
28,96.70602
29,94.681175
33,94.681175
35,94.0718
41,94.86729
42,94.915085
43,115.8125
45,101.6721
46,103.609055
51,93.83319
53,78.03614
55,112.733734
56,93.74991
57,103.57561
58,94.42575
59,103.72234
63,111.98565
64,94.142166
65,105.62353
69,93.101654
71,94.4726
72,103.496284
73,93.93985
76,104.298775
77,106.65221
78,114.83645
82,93.85833
83,105.62353
84,93.367516
85,102.00045
87,111.601425
88,94.86729
89,113.10582
91,93.8192
93,93.891975
94,104.56494
95,93.17324
96,111.473946
97,94.05259
98,112.31788
99,93.64346
101,103.858055
103,113.10582
104,94.21078
105,111.67308
110,95.096306
111,111.64097
113,111.74552
114,93.93574
115,110.505295
117,113.10582
120,93.79955
121,112.36454
122,94.75875
123,113.50379
126,112.158165
132,111.28513
135,103.56015
137,104.398094
138,94.10208
140,93.74991
142,110.98748
144,112.13618
148,93.38085
149,112.36189
155,93.24914
156,111.4107
157,94.05259
162,112.392685
163,94.568756
167,94.59675
172,115.8125
179,114.34128
180,94.70794
181,111.73929
182,94.73772
183,113.237656
185,113.237656
187,112.002304
188,93.990166
189,93.98564
191,93.42015
192,112.057846
193,94.39445
194,111.999916
195,93.2251
196,113.22284
198,95.6504
199,112.293236
201,104.75778
204,94.23392
205,103.87484
206,93.81502
210,93.49935
211,103.98989
216,112.09446
219,115.84895
220,93.21119
221,111.64691
226,111.73929
227,93.68986
228,112.11968
230,111.793564
231,94.05259
235,115.65243
236,93.80268
238,111.575134
242,103.81239
243,93.951035
244,77.69507
245,110.72915
247,112.53832
248,94.32021
249,94.971634
250,111.70948
251,93.80268
253,115.65243
254,93.671875
256,94.671295
257,92.78135
258,113.059975
259,93.7753
262,78.4826
266,94.146286
267,111.8005
272,102.59371
273,113.237656
275,94.66519
276,112.46327
279,94.76505
280,105.75536
283,93.95037
285,112.11968
288,113.237656
289,96.83186
290,104.69299
291,93.71324
292,111.49246
293,111.89067
296,94.417885
297,111.90878
298,114.968285
299,93.990166
304,93.864174
305,94.44166
306,94.12726
307,111.73929
311,106.68269
313,111.73929
314,93.42109
316,93.38614
324,93.72745
327,95.41126
329,93.54625
330,111.999916
