ID,y
1,85.699326
2,102.60121
3,85.20255
4,76.19226
5,110.48576
8,91.92222
10,110.1215
11,94.3668
12,116.59937
14,94.31881
15,116.5854
16,103.933205
17,94.46133
19,94.43014
20,105.651634
21,94.46133
22,116.6131
23,94.46133
26,95.23357
28,96.85122
29,94.46133
33,94.46133
35,94.7235
41,94.46133
42,95.25856
43,116.4306
45,101.66679
46,103.01388
51,94.5975
53,79.71616
55,113.33413
56,94.828125
57,102.7881
58,94.97126
59,102.98547
63,112.4923
64,94.7393
65,105.7712
69,93.582466
71,95.20676
72,103.51975
73,94.68571
76,103.65063
77,107.46078
78,116.06015
82,94.55525
83,105.7712
84,94.383156
85,101.95802
87,112.12095
88,94.46133
89,113.41608
91,94.63655
93,94.95264
94,105.21093
95,93.69418
96,111.232895
97,94.24939
98,112.186935
99,94.62189
101,103.520905
103,113.41608
104,94.67852
105,112.17669
110,95.675125
111,112.06065
113,112.49537
114,94.797386
115,111.266914
117,113.41608
120,94.23457
121,111.83036
122,95.08845
123,114.820885
126,112.296585
132,111.73332
135,103.87016
137,104.88403
138,94.77745
140,94.814156
142,111.784904
144,112.26579
148,93.562546
149,112.393364
155,94.040825
156,111.93926
157,94.24939
162,112.661865
163,95.675125
167,94.58079
172,116.4306
179,114.853836
180,95.244385
181,111.990486
182,95.21696
183,113.41608
185,113.41608
187,112.125
188,94.55525
189,94.5975
191,94.27921
192,111.739204
193,94.76358
194,112.44306
195,94.21051
196,113.247536
198,96.42969
199,112.32517
201,105.03275
204,94.76348
205,103.77464
206,94.24217
210,94.3243
211,103.520905
216,112.21984
219,116.59937
220,93.959366
221,111.79772
226,111.990486
227,93.86051
228,112.27922
230,112.118095
231,94.24939
235,116.6131
236,94.66618
238,111.73847
242,103.943054
243,94.63655
244,78.15744
245,111.36584
247,112.37351
248,94.90519
249,95.13766
250,111.94507
251,94.66618
253,116.6131
254,94.42381
256,95.03752
257,93.37744
258,113.37403
259,94.62189
262,78.84126
266,94.38654
267,112.17164
272,102.66353
273,113.41608
275,95.17017
276,112.37153
279,95.177925
280,105.7712
283,94.439995
285,112.27922
288,113.41608
289,97.30468
290,105.03275
291,94.49182
292,112.083984
293,111.71612
296,94.41412
297,112.20836
298,116.06015
299,94.55525
304,94.43696
305,95.164314
306,94.67528
307,111.990486
311,107.021065
313,111.990486
314,94.13912
316,94.2254
324,94.23963
327,95.49639
329,94.226265
330,112.44306
337,103.8914
338,95.5809
339,104.460846
340,94.73498
343,94.57536
345,116.5854
346,93.88152
347,112.17164
349,111.814026
350,93.99359
352,112.55031
353,93.02072
354,78.51159
357,95.03752
358,112.88666
362,112.89723
364,115.571945
365,103.604454
366,95.93805
367,113.08532
368,94.3471
370,78.67228
373,94.70836
377,94.17859
378,111.464355
382,103.65063
384,112.27922
390,93.512535
392,113.61801
393,112.03144
395,94.85011
396,105.231
399,79.4037
406,111.990486
408,111.990486
409,94.84977
410,78.521385
412,113.48107
413,93.51551
419,93.439926
420,112.32129
421,93.86021
430,104.20204
434,94.5975
436,94.57521
437,94.828125
438,94.25499
439,111.784424
440,94.62189
443,112.861374
446,94.76348
448,94.71314
452,94.95407
453,102.81086
457,104.13988
458,94.66958
459,114.0265
460,103.09033
462,103.61375
464,103.20095
465,116.59937
467,123.67045
471,113.033905
472,78.63463
473,96.87848
475,94.80111
480,94.93842
488,111.85079
490,111.990486
491,103.501236
492,78.54462
493,95.05719
497,92.57386
498,111.70578
499,94.83471
500,103.054535
501,94.66958
502,112.82349
506,79.54555
510,111.441925
511,93.50364
512,94.226265
516,95.42356
518,94.122
519,112.17164
521,93.745476
522,112.085175
526,112.055824
529,94.68745
532,111.91512
533,94.94785
536,113.94078
537,105.437874
539,94.68571
540,103.520905
541,94.542496
543,94.5975
546,112.46392
547,94.70823
548,78.61964
551,94.4405
552,103.10017
556,102.32622
557,95.73413
558,113.08532
559,94.734856
560,103.528114
562,103.66332
566,94.91173
570,111.70578
571,94.828125
572,105.7712
573,94.55525
575,116.59937
576,112.37523
577,93.8817
579,94.451836
580,111.78187
581,111.73332
589,111.990486
591,102.20826
593,94.15572
594,102.58374
595,94.5156
598,94.4405
602,111.61087
604,112.37587
606,112.052826
608,95.93805
609,103.520905
610,94.5975
616,110.69347
617,95.20695
618,102.297585
620,103.74775
622,112.5054
623,93.38106
624,143.10039
626,111.86252
628,111.97395
629,94.64446
630,112.118095
637,94.44655
638,104.24499
643,97.70191
645,94.93842
646,115.0745
648,95.09686
652,94.76593
653,94.828125
654,111.70578
656,112.34786
657,94.55814
659,93.858
660,103.140114
663,93.4621
664,112.32228
666,102.91868
668,111.51713
669,93.94421
671,95.59976
675,95.416595
677,94.47854
678,111.36584
679,103.69475
682,94.003204
685,103.08768
687,94.77745
688,93.832565
693,112.4813
696,95.39327
698,94.28344
701,97.24778
704,102.74447
705,116.56245
709,112.85422
710,94.51432
711,103.54556
712,94.3803
714,111.84872
715,94.58786
716,111.990486
717,94.787
720,116.5854
721,94.27921
724,102.0874
725,94.76348
726,112.13623
728,113.18461
731,93.628525
734,104.02491
738,94.27915
745,111.73931
746,94.212296
751,78.47855
754,94.376625
756,93.75824
758,94.41363
759,111.77726
761,116.39294
766,95.011536
767,112.54057
768,93.36008
769,112.41303
770,94.29525
771,78.523636
772,104.72467
773,94.4405
774,111.05141
776,112.27922
777,94.64086
780,116.4306
782,103.79079
787,102.53752
788,94.66473
792,93.33094
793,113.07683
798,95.64422
800,94.099556
806,111.990486
809,112.27922
811,112.65882
812,93.10838
814,116.59937
816,102.62743
817,94.734856
818,108.566
820,111.00909
823,94.66958
829,93.88819
830,111.649086
831,93.22144
834,111.70246
839,95.03752
841,78.46459
844,103.79079
845,94.57652
848,94.43696
850,100.085464
851,103.360214
852,94.097946
854,93.93771
855,94.89413
856,102.84311
859,102.266235
861,111.05141
864,94.28951
